id,url,period,rubric
0eae52db16102b2c,https://www.ukrinform.ua/rubric-ato/3848709-vorog-vnoci-namagavsa-atakuvati-dronami-energeticni-obekti-na-odesini.html,P1,rubric-ato
e9945aed16fabd88,https://www.ukrinform.ua/rubric-ato/3850736-unaslidok-obstrilu-lipciv-na-harkivsini-zaginula-ditina-dvoe-ludej-poraneni.html,P1,rubric-ato
f70e18f671a60536,https://www.ukrinform.ua/rubric-ato/3851026-rosijska-armia-vbila-v-ukraini-vze-542-ditini.html,P1,rubric-ato
bfd6d8c66681252e,https://www.ukrinform.ua/rubric-ato/3855059-na-odesini-vnaslidok-vorozogo-raketnogo-udaru-postrazdali-cetvero-ludej.html,P1,rubric-ato
82c3447b8558e3c9,https://www.ukrinform.ua/rubric-ato/3855098-zelenskij-zasluhav-dopovid-sirskogo-pro-najbils-garaci-tocki-frontu.html,P1,rubric-ato
39201afabd9c968c,https://www.ukrinform.ua/rubric-ato/4015842-ppo-za-nic-zbila-36-iz-64-rosijskih-bezpilotnikiv-se-5-lokacijno-vtraceni.html,P2,rubric-ato
80504bae89faad7b,https://www.ukrinform.ua/rubric-ato/4016254-rosijsk-armia-vtratila-na-vijni-v-ukraini-se-1180-vijskovih.html,P2,rubric-ato
a48149ab8830a42d,https://www.ukrinform.ua/rubric-ato/4021624-na-fronti-za-dobu-vidbulosa-138-zitknen-najgaracisij-pokrovskij-napramok.html,P2,rubric-ato
0b272ba719c40360,https://www.ukrinform.ua/rubric-ato/4026000-gromada-lvova-peredala-vijskovim-tehniki-ta-obladnanna-na-ponad-11-miljoniv.html,P2,rubric-ato
2a124259a1e6bf9c,https://www.ukrinform.ua/rubric-ato/4030067-pamati-aviatora-j-mislivca-na-sahediv-kostantina-oborina.html,P2,rubric-ato
afffebc8ff425473,https://www.ukrinform.ua/rubric-ato/4032286-na-fronti-za-dobu-vidbulosa-166-zitknen-najbilse-atak-na-pokrovskomu-ta-novopavlivskomu-napramkah.html,P2,rubric-ato
3878450924ec2a4c,https://www.ukrinform.ua/rubric-ato/4036274-rosijska-armia-za-dobu-vtratila-se-880-vijskovih.html,P2,rubric-ato
de6e92f2be48a488,https://www.ukrinform.ua/rubric-ato/4043032-pamati-volontera-soldata-kostantina-uzvuka-pozivnij-stambul.html,P2,rubric-ato
c596e95071ed108a,https://www.ukrinform.ua/rubric-ato/4044907-u-kievi-ta-nizci-oblastej-ogolosili-povitranu-trivogu.html,P2,rubric-ato
3297e5e460e083a0,https://www.ukrinform.ua/rubric-ato/4053376-na-kupanskomu-napramku-nacgvardijci-znisili-pivnicnokorejsku-rszv-type75.html,P2,rubric-ato
a7f43051415d962d,https://www.ukrinform.ua/rubric-ato/4054152-specpriznacenci-sbu-urazili-rosijski-skladi-ta-bazi-na-timcasovo-okupovanih-teritoriah.html,P2,rubric-ato
5e489159d85c63c5,https://www.ukrinform.ua/rubric-ato/4064188-ppo-zneskodila-558-rosijskih-bezpilotnikiv-ta-19-raket.html,P2,rubric-ato
bd57101605512121,https://www.ukrinform.ua/rubric-ato/4064893-vid-pocatku-dobi-na-fronti-138-zitknenna-sili-oboroni-provodat-kontrdiversijni-zahodi-u-rajoni-pokrovska.html,P2,rubric-ato
7b884cdb3971e5b6,https://www.ukrinform.ua/rubric-economy/3703189-biznes-pokrasiv-svoi-dilovi-ocikuvanna-u-kvitni-nacbank.html,P0,rubric-economy
0bb66f14e6848821,https://www.ukrinform.ua/rubric-economy/3704898-problemu-importu-ukrainskogo-zerna-v-susidni-kraini-es-treba-virisuvati-v-dusi-solidarnosti-kacka.html,P0,rubric-economy
